Par1,Par2,P1,P2,P3,P4,P5,P6,Vg11,Vg12,Vg21,Vg22
3,4,b,b',c',c,e,e',O,O,O,O
3,4,b,b',x2,c,e,e',O,O,O,O
3,4,b,b',d',c,e,e',O,O,O,O
3,4,b,b',d',c,e,e',O,O,O,O
3,4,b,b',d',c',e,e',O,O,O,O
3,4,b,b',d',x2,e,e',O,O,O,O
3,4,b,b',d',m,e,e',O,O,O,O
3,4,b,b',d',x1,e,e',O,O,O,O
3,4,b,b',d',f',e,e',O,O,O,O
3,4,b,b',d',f,e,e',O,O,O,O
3,4,b,b',d',f,e,e',O,O,O,O
3,4,b,b',x2,f,e,e',O,O,O,O
3,4,b,b',m,f,e,e',O,O,O,O
3,4,b,b',x1,f,e,e',O,O,O,O
3,4,b,b',f',f,e,e',O,O,O,O
3,4,b,b',f',f,e,e',O,O,O,O
3,4,b,b',x1,f,e,e',O,O,O,O
3,4,b,b',a',f,e,e',O,O,O,O
3,4,b,b',a',f,e,e',O,O,O,O
3,4,b,b',a',f',e,e',O,O,O,O
3,4,b,b',a',x1,e,e',O,O,O,O
3,4,b,b',a',m,e,e',O,O,O,O
3,4,b,b',a',m,e,e',O,O,O,O
3,4,b,b',x1,m,e,e',O,O,O,O
3,4,b,b',f',m,e,e',O,O,O,O
3,4,b,b',f,m,e,e',O,O,O,O
3,4,b,b',f,m,e,e',O,O,O,O
3,4,b,b',f,x1,e,e',O,O,O,O
3,4,b,b',f,f',e,e',O,O,O,O
2,4,b,b',f,f',e,e',O,O,O,O
2,4,b,x1,f,f',e,e',O,O,O,O
2,4,b,a',f,f',e,e',O,O,O,O
2,4,b,a',f,f',e,e',S,O,O,O
2,4,b,a',f,x1,e,e',S,O,O,O
2,4,b,a',f,m,e,e',S,O,O,O
2,4,b,a',f,m,e,e',O,S,O,O
2,4,b,x1,f,m,e,e',O,S,O,O
2,4,b,f',f,m,e,e',O,S,O,O
2,4,b,f',f,m,e,e',O,S,O,O
2,4,b,f',f,x1,e,e',O,S,O,O
2,4,b,f',f,b',e,e',O,S,O,O
2,3,b,f',f,b',e,e',O,O,O,O
2,3,b,x1,f,b',e,e',O,O,O,O
2,3,b,a',f,b',e,e',O,O,O,O
2,3,b,a',f,b',e,e',O,O,O,O
2,3,b,a',f',b',e,e',O,O,O,O
2,3,b,a',x1,b',e,e',O,O,O,O
2,3,b,a',m,b',e,e',O,O,O,O
2,3,b,a',m,b',e,e',O,O,O,O
2,3,b,x1,m,b',e,e',O,O,O,O
2,3,b,f',m,b',e,e',O,O,O,O
2,3,b,f,m,b',e,e',O,O,O,O
2,3,b,f,m,b',e,e',O,O,O,O
2,3,b,f,x1,b',e,e',O,O,O,O
2,3,b,f,f',b',e,e',O,O,O,O
3,4,b,b',f',f,e,e',O,O,O,O
3,4,b,b',x1,f,e,e',O,O,O,O
3,4,b,b',m,f,e,e',O,O,O,O
3,4,b,b',x2,f,e,e',O,O,O,O
3,4,b,b',d',f,e,e',O,O,O,O
3,4,b,b',d,f,e,e',O,O,O,O
3,4,b,b',d,f,e,e',O,O,O,O
3,4,b,b',d,f',e,e',O,O,O,O
3,4,b,b',d,x1,e,e',O,O,O,O
3,4,b,b',d,m,e,e',O,O,O,O
