Pair1,Pair2,Pair3,Qubit1,Qtubi2
x,1,x,1,1
x,x,1,1,0
1,x,x,0,1
1,x,x,0,1
x,x,1,1,0
x,x,1,1,0
x,1,x,1,1
1,x,x,0,1
x,x,1,1,0
x,1,x,1,1
x,1,x,1,1
x,1,x,1,1
1,x,x,0,1
1,x,x,0,1
x,x,1,1,0
1,1,1,0,0
1,x,x,0,1
1,x,x,0,1
x,x,1,1,0
x,x,1,1,0
x,x,1,1,0
x,x,1,1,0
x,1,x,1,1
x,1,x,1,1
x,x,1,1,0
x,1,x,1,1
1,x,x,0,1
1,1,1,0,0
x,x,1,1,0
1,x,x,0,1
x,x,1,1,0
x,1,x,1,1
x,1,x,1,1
1,1,1,0,0
x,x,1,1,0
x,1,x,1,1
x,x,1,1,0
1,1,1,0,0
x,x,1,1,0
1,1,1,0,0
1,1,1,0,0
x,1,x,1,1
x,1,x,1,1
1,1,1,0,0
1,1,1,0,0
x,1,x,1,1
x,1,x,1,1
1,x,x,0,1
1,x,x,0,1
x,1,x,1,1
1,x,x,0,1
x,x,1,1,0
x,x,1,1,0
x,1,x,1,1
1,x,x,0,1
x,x,1,1,0
