Par1,Par2,P1,P2,P3,P4,Vg11,Vg12,Vg21,Vg22
1,2,b,b',f',f,O,O,O,O
1,2,b,x1,f',f,O,O,O,O
1,2,b,a',f',f,O,O,O,O
1,2,b,a',f',f,O,O,O,O
1,2,b',a',f',f,O,O,O,O
1,2,x1,a',f',f,O,O,O,O
1,2,m,a',f',f,O,O,O,O
1,2,m,a',f',f,O,O,O,O
1,2,m,x1,f',f,O,O,O,O
1,2,m,b',f',f,O,O,O,O
1,2,m,b,f',f,O,O,O,O
1,2,m,b,f',f,O,O,O,O
1,2,x1,b,f',f,O,O,O,O
1,2,b',b,f',f,O,O,O,O
1,3,b',b,f',f,O,O,O,O
1,3,x1,b,f',f,O,O,O,O
1,3,a',b,f',f,O,O,O,O
1,3,a',b,f',f,S,O,O,O
1,3,a',b,x1,f,S,O,O,O
1,3,a',b,m,f,S,O,O,O
1,3,a',b,m,f,O,S,O,O
1,3,x1,b,m,f,O,S,O,O
1,3,f',b,m,f,O,S,O,O
1,3,f',b,m,f,O,S,O,O
1,3,f',b,x1,f,O,S,O,O
1,3,f',b,b',f,O,S,O,O
2,3,f',b,b',f,O,O,O,O
2,3,f',b,x1,f,O,O,O,O
2,3,f',b,a',f,O,O,O,O
2,3,f',b,a',f,O,O,O,O
2,3,f',b',a',f,O,O,O,O
2,3,f',x1,a',f,O,O,O,O
2,3,f',m,a',f,O,O,O,O
2,3,f',m,a',f,O,O,O,O
2,3,f',m,x1,f,O,O,O,O
2,3,f',m,b',f,O,O,O,O
2,3,f',m,b,f,O,O,O,O
2,3,f',m,b,f,O,O,O,O
2,3,f',x1,b,f,O,O,O,O
2,3,f',b',b,f,O,O,O,O
