Par1,Par2,P1,P2,P3,P4,Vg11,Vg12,Vg21,Vg22
2,3,b,b',f',f,O,O,O,O
2,3,b,x1,f',f,O,O,O,O
2,3,b,a',f',f,O,O,O,O
2,3,b,a',f',f,S,O,O,O
2,3,b,a',x1,f,S,O,O,O
2,3,b,a',m,f,S,O,O,O
2,3,b,a',m,f,O,S,O,O
2,3,b,x1,m,f,O,S,O,O
2,3,b,f',m,f,O,S,O,O
2,3,b,f',m,f,O,S,O,O
2,3,b,f',x1,f,O,S,O,O
2,3,b,f',b',f,O,S,O,O
3,2,b,f',b',f,O,O,O,O
3,2,b,f',x1,f,O,O,O,O
3,2,b,f',a',f,O,O,O,O
3,2,b,f',a',f,S,O,O,O
3,2,b,x1,a',f,S,O,O,O
3,2,b,m,a',f,S,O,O,O
3,2,b,m,a',f,O,S,O,O
3,2,b,m,x1,f,O,S,O,O
3,2,b,m,f',f,O,S,O,O
3,2,b,m,f',f,O,S,O,O
3,2,b,x1,f',f,O,S,O,O
3,2,b,b',f',f,O,S,O,O
